date         prices
1974-04-01   28.279
1974-07-01   29.098
1974-10-01   29.955
1975-01-01   30.634
1975-04-01   31.093
1975-07-01   31.647
1975-10-01   32.174
1976-01-01   32.508
1976-04-01   32.838
1976-07-01   33.262
1976-10-01   33.851
1977-01-01   34.396
1977-04-01   34.879
1977-07-01   35.308
1977-10-01   36.075
1978-01-01   36.612
1978-04-01   37.283
1978-07-01   37.906
1978-10-01   38.703
1979-01-01   39.395
1979-04-01   40.348
1979-07-01   41.209
1979-10-01   42.031
1980-01-01   42.906
1980-04-01   43.847
1980-07-01   44.856
1980-10-01   46.096
1981-01-01   47.246
1981-04-01   48.133
1981-07-01   48.999
1981-10-01   49.917
1982-01-01   50.615
1982-04-01   51.225
1982-07-01   51.962
1982-10-01   52.540
1983-01-01   52.964
1983-04-01   53.323
1983-07-01   53.881
1983-10-01   54.277
1984-01-01   54.855
1984-04-01   55.316
1984-07-01   55.765
1984-10-01   56.139
1985-01-01   56.785
1985-04-01   57.136
1985-07-01   57.468
1985-10-01   57.800
1986-01-01   58.082
1986-04-01   58.315
1986-07-01   58.550
1986-10-01   58.875
1987-01-01   59.303
1987-04-01   59.700
1987-07-01   60.134
1987-10-01   60.632
1988-01-01   61.108
1988-04-01   61.699
1988-07-01   62.426
1988-10-01   62.926
1989-01-01   63.617
1989-04-01   64.275
1989-07-01   64.741
1989-10-01   65.192
1990-01-01   65.911
1990-04-01   66.592
1990-07-01   67.186
1990-10-01   67.694
1991-01-01   68.369
1991-04-01   68.837
1991-07-01   69.342
1991-10-01   69.717
1992-01-01   70.017
1992-04-01   70.463
1992-07-01   70.798
1992-10-01   71.277
1993-01-01   71.682
1993-04-01   72.118
1993-07-01   72.553
1993-10-01   72.931
1994-01-01   73.285
1994-04-01   73.650
1994-07-01   74.049
1994-10-01   74.457
1995-01-01   74.884
1995-04-01   75.213
1995-07-01   75.571
1995-10-01   75.944
1996-01-01   76.355
1996-04-01   76.645
1996-07-01   76.861
1996-10-01   77.251
1997-01-01   77.731
1997-04-01   77.941
1997-07-01   78.220
1997-10-01   78.479
1998-01-01   78.607
1998-04-01   78.772
1998-07-01   79.067
1998-10-01   79.313
1999-01-01   79.630
1999-04-01   79.894
1999-07-01   80.187
1999-10-01   80.555
2000-01-01   81.165
2000-04-01   81.625
2000-07-01   82.156
2000-10-01   82.600
2001-01-01   83.131
2001-04-01   83.708
2001-07-01   83.985
2001-10-01   84.239
2002-01-01   84.504
2002-04-01   84.826
2002-07-01   85.206
2002-10-01   85.673
2003-01-01   86.201
2003-04-01   86.462
2003-07-01   86.947
2003-10-01   87.378
2004-01-01   88.130
2004-04-01   88.861
2004-07-01   89.432
2004-10-01   90.078
2005-01-01   90.893
2005-04-01   91.525
2005-07-01   92.400
2005-10-01   93.121
2006-01-01   93.837
2006-04-01   94.595
2006-07-01   95.249
2006-10-01   95.583
2007-01-01   96.652
2007-04-01   97.190
2007-07-01   97.526
2007-10-01   97.959
2008-01-01   98.507
2008-04-01   98.984
2008-07-01   99.659
2008-10-01   99.808
2009-01-01  100.064
2009-04-01   99.897
2009-07-01   99.874
2009-10-01  100.164
2010-01-01  100.513
2010-04-01  100.958
2010-07-01  101.418
2010-10-01  101.936
2011-01-01  102.343
2011-04-01  103.002
2011-07-01  103.650
2011-10-01  103.783
2012-01-01  104.291
2012-04-01  104.750
2012-07-01  105.292
2012-10-01  105.667
2013-01-01  106.105
2013-04-01  106.259
